AccidentNumber,Date,WeatherCondition,InjurySeverity,AircraftDamage,LocationID
 SEA08CA056 , 12/31/2007 , VMC , Non-Fatal , Substantial ,1
 CHI08WA075 , 12/31/2007 , VMC , Non-Fatal , Minor ,2
 CHI08CA057 , 12/30/2007 , VMC , Non-Fatal , Substantial ,3
 LAX08FA043 , 12/30/2007 , VMC , Fatal(1) , Substantial ,4
 NYC08FA071 , 12/30/2007 , VMC , Fatal(3) , Substantial ,5
 DEN08CA045 , 12/29/2007 , VMC , Non-Fatal , Substantial ,6
 CHI08CA056 , 12/29/2007 , VMC , Non-Fatal , Substantial ,7
 CHI08CA058 , 12/29/2007 , VMC , Non-Fatal , Substantial ,8
 DFW08FA053 , 12/29/2007 , IMC , Fatal(1) , Destroyed ,9
 DFW08LA052 , 12/29/2007 , VMC , Fatal(2) , Destroyed ,10
 LAX08WA045 , 12/29/2007 , VMC , Fatal(1) , Substantial ,11
 DFW08CA051 , 12/28/2007 , VMC , Non-Fatal , Substantial ,12
 SEA08LA054 , 12/28/2007 , VMC , Non-Fatal , Substantial ,13
 CHI08FA055 , 12/27/2007 , IMC , Fatal(1) , Destroyed ,14
 OPS08IA004A , 12/27/2007 , VMC , Incident ,  ,15
 OPS08IA004B , 12/27/2007 , VMC , Incident ,  ,16
 MIA08LA032 , 12/26/2007 , VMC , Non-Fatal , Substantial ,17
 DEN08IA044 , 12/26/2007 , VMC , Incident , Minor ,18
 NYC08LA070 , 12/26/2007 , VMC , Non-Fatal , Substantial ,19
 MIA08WA058 , 12/26/2007 , VMC , Non-Fatal , Substantial ,20
 ANC08LA030 , 12/26/2007 , VMC , Non-Fatal , Substantial ,21
 SEA08CA052 , 12/26/2007 , VMC , Non-Fatal , Substantial ,22
 MIA08CA045 , 12/26/2007 , VMC , Non-Fatal , Substantial ,23
 SEA08LA051 , 12/25/2007 , VMC , Non-Fatal ,  ,24
 SEA08LA050 , 12/25/2007 , VMC , Non-Fatal ,  ,25
 CHI08CA059 , 12/24/2007 , VMC , Non-Fatal , Substantial ,26
 NYC08IA069 , 12/24/2007 , VMC , Incident , Minor ,27
 DFW08WA050 , 12/23/2007 , VMC , Fatal(3) , Destroyed ,28
 SEA08CA053 , 12/23/2007 , VMC , Non-Fatal , Substantial ,29
 ANC08LA029 , 12/23/2007 , VMC , Non-Fatal , Substantial ,30
 NYC08CA068 , 12/22/2007 , VMC , Non-Fatal , Substantial ,31
 LAX08CA041 , 12/22/2007 , VMC , Non-Fatal , Substantial ,32
 DEN08CA043 , 12/22/2007 , VMC , Non-Fatal , Substantial ,33
 NYC08CA067 , 12/22/2007 , IMC , Non-Fatal , Substantial ,34
 DFW08CA049 , 12/22/2007 , VMC , Non-Fatal , Substantial ,35
 SEA08CA055 , 12/22/2007 , VMC , Non-Fatal , Substantial ,36
 MIA08CA040 , 12/22/2007 , IMC , Non-Fatal , Substantial ,37
 DEN08RA050 , 12/22/2007 , VMC , Non-Fatal , Substantial ,38
 DEN08CA046 , 12/21/2007 , VMC , Non-Fatal , Substantial ,39
 DFW08CA048 , 12/21/2007 , VMC , Non-Fatal , Substantial ,40
 DFW08LA134 , 12/21/2007 , VMC , Fatal(2) , Destroyed ,41
 NYC08CA066 , 12/20/2007 , VMC , Non-Fatal , Substantial ,42
 CHI08FA054 , 12/20/2007 , IMC , Fatal(1) , Destroyed ,43
 DFW08LA046 , 12/20/2007 , VMC , Non-Fatal , Substantial ,44
