RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,passenger_seats,AirportCode
 N2800D , Airplane , Piper , PA-12 , No ,1, Reciprocating ,187, SNA 
N4349Y,Airplane, Cessna , T303 , No ,2,Reciprocating,287,EBA
 N5093F , Airplane , Lerohl , RV-8 , Yes ,1, Reciprocating ,380, AXN 
 N254SR , Airplane , Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,367, PRB 
 N109AE , Helicopter , BELL , 206L-3 , No ,1, Turbo Shaft ,150,UIK
 N33MF , Airplane , Piper , PA-46-310P , No ,1, Reciprocating ,236,LLI
 N94131 , Airplane , Ercoupe (Eng & Research Corp.) , 415D , No ,1, Reciprocating ,222,FCI
 N8191U , Airplane , Cessna , 172F , No ,1, Reciprocating ,187,JCO
 N211EL , Helicopter , Bell , 206L1 , No ,1, Turbo Shaft ,218,HGM
 N136DG , Gyrocraft , ALTHOUSE , RAF 2000 GTX , Yes ,1, Reciprocating ,388,DFV
N3328K,Airplane, Robinson , R-44 , No ,2,Reciprocating,276,OXV
 N1458U , Airplane , Cessna ,172, No ,1, Reciprocating ,235, EYQ 
 N365SX , Airplane , Hein , Sonex , Yes ,1, Reciprocating ,345,QWE
 N37249 , Airplane , CESSNA , 310R , No ,2, Reciprocating ,228, TVC 
N2008Q,Airplane, Gulfstream American , G5 , No ,2,Reciprocating,234,IOU
N1767F,Airplane, Raytheon Corporate Jets , H25B , No ,2,Reciprocating,274,OYP
 N5875Q , Airplane , Mooney , M20E , No ,1, Reciprocating ,339, SRQ 
 N47BC , Airplane , PIPER , PA-46-310P , No ,1, Reciprocating ,281, ASE 
 N9412X , Airplane , CESSNA , 182R , No ,1, Reciprocating ,325, N85 
 N761YL ,Airplane, Cessna , T210L , No ,2,Reciprocating,372,CLT
 N7637D , Airplane , PIPER , PA-22-150 , No ,1, Reciprocating ,309, 95Z 
 N13974 , Airplane , Cessna , 172S , No ,1, Reciprocating ,273, FUL 
 N5425K , Airplane , Cessna , 172P , No ,1, Reciprocating ,289, K7B2 
 N819NW , Airplane , Airbus Industrie , A330-323 , No ,2, Turbo Fan ,151, HNL 
 N943AS , Airplane , MCDONNELL DOUGLAS , DC-9-83 , No ,2, Turbo Fan ,321, ONT 
 N719AR , Ultralight , Infinity , Commander , No ,1, Reciprocating ,349,MTI
 N8158B , Airplane , PIPER , PA-32R , No ,1, Reciprocating ,400,RJR
N7507Q,Airplane, Cessna ,172, No ,2,Reciprocating,226,CQC
 N9086Y , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,214,FOD
 N572E ,Airplane, Cessna ,185, No ,1, Reciprocating ,291,PXU
 N3070A , Airplane , Cessna , 170B , No ,1, Reciprocating ,249, NH15 
 N418MS , Airplane , Found Acft , FBA-2C2 , No ,1, Reciprocating ,397, P14 
 N8305V , Airplane , Champion , 7GCAA , No ,1, Reciprocating ,168, GUP 
 N9371M , Airplane , Mooney , M20F , No ,1, Reciprocating ,226, CTJ 
 N212CG , Airplane , Cessna ,182, No ,1, Reciprocating ,326, 4R2 
 N66012 , Helicopter , Brooks , Exec 162F , Yes ,1, Reciprocating ,196, SMX 
 N109SK , Helicopter , Agusta , A109 , No ,2, Turbo Shaft ,196, KSGJ 
 N901TP ,Airplane, Partenavia , AP 68 TP , No ,2,Reciprocating,221,BNP
 N844SH , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,163, KPUB 
 N131RV , Airplane , Portman , RV-7A , Yes ,1, Reciprocating ,390, 28TE 
 N28836 , Airplane , CESSNA ,310, No ,2, Reciprocating ,265,UCY
 N4814L , Airplane , Piper , PA28-180 , No ,1, Reciprocating ,271, LOM 
 N1919H , Airplane , Piper , PA-32R-300 , No ,1, Reciprocating ,188,QTH
 N49962 ,Airplane, Cessna ,152, No ,1, Reciprocating ,356, T67 
 C-FMKB , Airplane , DOUGLAS , DC-3T , No ,2,Reciprocating,298,MBT
 N7229R , Airplane , Eldredge , Aircamper SDE , Yes ,1, Reciprocating ,204, 6AZ8 
 N5957F , Airplane , Cessna ,210, No ,1, Reciprocating ,348, OK68 
 N954PA ,Airplane, Cessna , 208B , No ,2,Reciprocating,274,YXK
 N17784 , Airplane , Beech , V35B , No ,1, Reciprocating ,155, KSPI 
 N5811M , Airplane , Cessna , 310P , No ,2, Reciprocating ,236,ACW
N5622P, Airplane , Cirrus , SR22 , No ,2,Reciprocating,353,WRU
 N13616 , Airplane , Cessna , Citation 510 , No ,2, Turbo Jet ,229, KAGC 
 N5499J , Airplane , Cessna , 310R , No ,2, Reciprocating ,212, PHX 
 N2180E , Airplane , Cessna , 172N , No ,1, Reciprocating ,183, ASN 
 N5187B , Airplane , CESSNA , 208B , No ,1, Turbo Prop ,315, PABE 
 N272SK , Airplane , EMBRAER ,145, No ,2,Reciprocating,214, JFK 
N9501B,Airplane, Airbus Industrie , A-320 , No ,2,Reciprocating,356,MZS
N8411J,Airplane, Reims , F172 M , No ,1, Reciprocating ,212,VOP
 N111AX ,Airplane, Beech ,1900, No ,2, Turbo Prop ,231, PANI 
N2805B, Airplane , GRUMMAN , G164A , No ,1, Reciprocating ,338,HTJ
 N7252Y ,Airplane, Piper , PA-30 , No ,2, Reciprocating ,376, 6S1 
 N918SW ,Airplane, Bombardier , CL-600-2B19 , No ,2, Turbo Fan ,201, ORD 
 N470ZW , Airplane , BOMBARDIER , CL600-2B19 , No ,2, Turbo Fan ,183, KPVD 
 N751SA ,Airplane, Boeing , 747-228F , No ,2,Reciprocating,238,FLD
 N63LH , Airplane , Mooney , M20C , No ,2, Reciprocating ,246, PHG 
 N45500 ,Airplane, Garniss , STOL 701 , Yes ,1, Reciprocating ,279,EUT
 N407AK ,Airplane, Bell ,407, No ,1, Turbo Shaft ,390,UXV
 N24DN ,Airplane, Levick , RAF-2000-GTX-SE , Yes ,1, Reciprocating ,169, I83 
 N414HP , Helicopter , Eurocopter France , AS350 B3 , No ,1, Turbo Shaft ,258, FAT 
 B-2477 , Airplane , BOEING , B747-433BCF , No ,4,Reciprocating,301, JFK 
 N220UA , Airplane , Boeing , 777-222 , No ,2, Turbo Fan ,237, ORD 
 N567SP , Airplane , Cessna , 172S , No ,1, Reciprocating ,324, SEE 
 N184JB , Airplane , EMBRAER , EMB-190 , No ,2, Turbo Fan ,397, JFK 
 N801VC , Airplane , PIPER , PA32-260 , No ,1, Reciprocating ,174, MTH 
 N777EV , Airplane , Beech , BE-55 , No ,2, Reciprocating ,326, LNS 
 N961PH , Airplane , Maule , M-7-235 , No ,1, Reciprocating ,383,LGJ
N6009S,Airplane, Bell , 204B , No ,2,Reciprocating,273,IIT
 N310RV ,Airplane, Cessna , 310J , No ,2, Reciprocating ,185, HXD 
 N112ED , Airplane , Piper , PA-31T , No ,2, Turbo Prop ,369, MLS 
 N199JW , Airplane ," Wootton, John ", Aero Canard , Yes ,1, Reciprocating ,184, SVH 
 N7188J , Helicopter , ROBINSON HELICOPTER , R22 BETA , No ,1, Reciprocating ,315, PCM 
 N50DS ,Airplane," Bombardier, Inc. ", BD-700-1A11 , No ,2,Reciprocating,326,KZS
 N364KW , Airplane , BEECH , A36TC , No ,1, Reciprocating ,310,GJM
 N2699G , Airplane ," Smith, Ted Aerostar ", Aerostar 601 , No ,2, Reciprocating ,238, LPR 
 N925TT , Airplane , BEECH ,200, No ,2, Turbo Prop ,356, KSMN 
 N3699S , Airplane , Cessna , 172E , No ,1, Reciprocating ,328, 89NC 
N0781P,Airplane, Beech , C90B , No ,2,Reciprocating,192,VCV
 N5481D , Airplane , BEECH , H35 , No ,1, Reciprocating ,260, W66 
N4833W,Airplane, Cessna , T210 , No ,2,Reciprocating,292,YQU
 N24478 , Airplane , CESSNA ,152, No ,1, Reciprocating ,281,IYK
 N5431C , Airplane , CESSNA , T210N , No ,1, Reciprocating ,284, JVY 
 N2151J , Airplane , Cessna , Skyhawk 172 , No ,1, Reciprocating ,350, AUW 
 N173DA , Airplane , Cessna ,172, No ,1, Reciprocating ,178, 9D9 
 N43682 , Airplane , Fisher Aero , Celebrity , Yes ,1, Reciprocating ,328,WOR
 N9048T , Airplane , Cessna ,182, No ,1, Reciprocating ,233, SFF 
 N5921D , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,193, NONE 
 N766CC , Airplane , PIPER , PA-30 , No ,2, Reciprocating ,262,LZA
 C-GPIA , Airplane , Piaggio Aero Industries S.P.A. , Avanti P-180 , No ,2, Turbo Prop ,397, BAM 
 N2643C , Airplane , Cessna , R182 , No ,1, Reciprocating ,376,DOG
 N4388P ,Airplane, Piper , PA-28-236 , No ,1, Reciprocating ,249,TQL
 N130SX , Airplane , Messing Roy , Sonex , Yes ,1, Reciprocating ,251, KEVB 
 N6024M , Airplane , Air Tractor , AT-401 , No ,1, Reciprocating ,239,JNS
 N700H , Airplane , Senft/Anderson/salmon , C-5 , Yes ,1, Reciprocating ,222, 40E 
