AirportCode,AirportName,Country
 SNA , John Wayne - Orange County , United States 
EBA,Clearwater Point Municipal, United Kingdom 
 AXN , Chandler Field Airport , United States 
 PRB , Paso Robles Airport , United States 
UIK,Mountain Hill Airfield, United States 
LLI,Sunset Bay International, United States 
FCI,Mountain Hill Regional, United States 
JCO,Mountain Springs International, United States 
HGM, South Pass 38 , United States 
DFV,Sky Hill Airfield, United States 
OXV,Mountain Heights Airfield, Australia 
 EYQ , WEISER AIR PARK , United States 
QWE,Lake Valley Regional, United States 
 TVC , Cherry Capital Airport , United States 
IOU,Redwood Heights Municipal, United States 
OYP,Oak Valley International, United States 
 SRQ , Sarasota/Bradenton Intl , United States 
 ASE , Aspen/Pitkin County , United States 
 N85 , Alexandria Airport , United States 
CLT,Redwood Creek Regional, Venezuela 
 95Z , Bradley Sky-Ranch Airport , United States 
 FUL , Fullerton Municipal , United States 
 K7B2 , Northampton , United States 
 HNL , Honolulu International , United States 
 ONT , Ontario International , United States 
MTI,Clearwater Point Airport, United States 
RJR,Sunset Hill International, United States 
CQC,Clearwater Hill Airport, Panama 
FOD,Clearwater Field Regional, United States 
PXU,Oak Field Airfield, United States 
 NH15 , Locke Lake Airport , United States 
 P14 , Holbrook , United States 
 GUP , GALLUP MUNICIPAL , United States 
 CTJ , West Georgia Regional , United States 
 4R2 , HORSESHOE BAY AIRPARK , United States 
 SMX , Santa Maria Public , United States 
 KSGJ , St. Augustine Airport , United States 
BNP,Oak Bluff Municipal, Guadeloupe 
 KPUB , Pueblo Memorial Airport , United States 
 28TE , Elmendorf , United States 
UCY,Silver Point Regional, United States 
 LOM , Wings Field , United States 
QTH,Clearwater Springs International, United States 
 T67 , HICKS AIRFIELD , United States 
MBT,Green Point Airfield, Antarctica 
 6AZ8 , Flying Diamond , United States 
 OK68 , MEDFORD MUNI , United States 
YXK,Mountain Point Airfield, Bahamas 
 KSPI , Abraham Lincoln Capital Arpt , United States 
ACW,Sky Heights Airfield, United States 
WRU,River Heights Municipal, Brazil 
 KAGC , Alleghney County Airport , United States 
 PHX , Phoenix Sky Harbor Intl. , United States 
 ASN , TALLADEGA MUNI , United States 
 PABE , Bethel , United States 
 JFK , John F. Kennedy International , United States 
MZS,Silver Bluff Regional, Brazil 
VOP,Silver Bluff Regional, France 
 PANI , Aniak , United States 
HTJ,Mountain Bay Regional, Chile 
 6S1 , Bridger Municipal Airport , United States 
 ORD , Chicago O'Hare Intl , United States 
 KPVD , Theodore F. Green State , United States 
FLD,Oak Springs Municipal, Egypt 
 PHG , Phillipsburg Municipal , United States 
EUT,Silver Hill Airfield, United States 
UXV,Oak Harbor Municipal, United States 
 I83 , Salem Muni , United States 
 FAT , Fresno Yosemite International , United States 
 JFK , John F. Kennedy International , United States 
 ORD , Chicago O'Hare Intl , United States 
 SEE , Gillespie Field , United States 
 JFK , John F. Kennedy International , United States 
 MTH , The Florida Keys Marathon Airp , United States 
 LNS , Lancaster Airport , United States 
LGJ,Green Harbor Airport, United States 
IIT,Mountain Valley Regional, Peru 
 HXD , Hilton Head Airport , United States 
 MLS , Muscle Shoals , United States 
 SVH , Statesville Regional , United States 
 PCM , Plant City Municipal Airport , United States 
KZS,Mountain Springs International, St Kitts And Nevis 
GJM,Sunset Valley International, United States 
 LPR , Lorain County Regional , United States 
 KSMN , Lemhi County Airport , United States 
 89NC , Strickland Field Airport , United States 
VCV,Sunset Valley International, Ukraine 
 W66 , Warrenton-Fauquier Airport , United States 
YQU,Lake Bluff Airfield, Venezuela 
IYK,Oak Bay Airport, United States 
 JVY , Clark Regional Airport , United States 
 AUW , Wausau Downtown , United States 
 9D9 , Hastings Airport , United States 
WOR,Mountain Field Airport, United States 
 SFF , Spokane Felts Field , United States 
 NONE , Private Airstrip , United States 
LZA,Clearwater Bay Municipal, United States 
 BAM , BATTLE MOUNTAIN , United States 
DOG,Sunset Springs International, United States 
TQL,Sunset Valley International, United States 
 KEVB , New Smyrna Beach Municipal , United States 
JNS,Lake Creek Airport, United States 
 40E , LA CHOLLA AIRPARK , United States 
 L18 , FALLBROOK COMMUNITY AIRPARK , United States 
KPK,Lake Bluff International, Mexico 
 LCK , Rickenbacker International , United States 
WGM,Oak Bluff Airfield, United States 
