FlightNumber,accm_txn_complete_time
20080125X00106 ,12/31/2025 8:41
20080206X00141 ,12/31/2025 9:41
20080129X00122 ,12/30/2025 5:41
20080114X00045 ,12/30/2025 5:41
20080109X00032 ,12/30/2025 4:41
20080129X00118 ,12/29/2025 7:41
20080214X00193 ,12/29/2025 8:41
20080215X00200 ,12/29/2025 8:41
20071231X02014 ,12/29/2025 5:41
20080103X00010 ,12/29/2025 6:41
20080117X00071 ,12/29/2025 8:41
20080111X00041 ,12/28/2025 9:41
20080102X00006 ,12/28/2025 9:41
20080108X00030 ,12/27/2025 7:41
20080128X00107 ,12/27/2025 9:41
20080128X00107 ,12/27/2025 5:41
20080104X00022 ,12/26/2025 7:41
20071231X02008 ,12/26/2025 6:41
20080210X00163 ,12/26/2025 4:41
20080229X00252 ,12/26/2025 4:41
20080129X00123 ,12/26/2025 8:41
20080117X00072 ,12/26/2025 5:41
20080128X00110 ,12/26/2025 6:41
20080107X00025 ,12/25/2025 9:41
20080107X00024 ,12/25/2025 6:41
20080116X00054 ,12/24/2025 9:41
20080321X00351 ,12/24/2025 8:41
20080108X00031 ,12/23/2025 7:41
20080125X00105 ,12/23/2025 5:41
20080201X00128 ,12/23/2025 4:41
20080124X00101 ,12/22/2025 4:41
20080207X00157 ,12/22/2025 7:41
20080128X00114 ,12/22/2025 9:41
20080201X00127 ,12/22/2025 5:41
20080219X00206 ,12/22/2025 9:41
20080117X00070 ,12/22/2025 9:41
20080123X00093 ,12/22/2025 9:41
20080207X00145 ,12/22/2025 4:41
20080115X00049 ,12/21/2025 5:41
20080204X00134 ,12/21/2025 8:41
20080722X01095 ,12/21/2025 6:41
20080416X00491 ,12/20/2025 5:41
20071231X02011 ,12/20/2025 7:41
20071228X02006 ,12/20/2025 5:41
20080117X00066 ,12/20/2025 5:41
20080207X00156 ,12/20/2025 8:41
20080128X00112 ,12/20/2025 8:41
20080201X00129 ,12/20/2025 8:41
20080102X00007 ,12/20/2025 5:41
20080123X00095 ,12/19/2025 5:41
20080327X00393 ,12/19/2025 5:41
20080312X00298 ,12/19/2025 6:41
20080207X00155 ,12/18/2025 5:41
20080318X00323 ,12/18/2025 8:41
20080116X00058 ,12/18/2025 8:41
20081003X62958 ,12/17/2025 5:41
20080204X00133 ,12/17/2025 6:41
20080102X00002 ,12/17/2025 5:41
20080116X00059 ,12/17/2025 7:41
20081031X83921 ,12/17/2025 9:41
20071219X01979 ,12/16/2025 6:41
20071231X02012 ,12/16/2025 8:41
20071217X01939 ,12/16/2025 8:41
20071221X01982 ,12/16/2025 4:41
20071226X01986 ,12/15/2025 7:41
20080102X00001 ,12/15/2025 9:41
20071221X01983 ,12/15/2025 8:41
20080122X00083 ,12/14/2025 5:41
20080131X00126 ,12/14/2025 5:41
20080213X00187 ,12/14/2025 6:41
20071231X02013 ,12/14/2025 5:41
20071226X01987 ,12/14/2025 8:41
20080213X00187 ,12/14/2025 6:41
20071219X01976 ,12/13/2025 4:41
20080123X00094 ,12/13/2025 7:41
20080215X00201 ,12/13/2025 7:41
20071228X02003 ,12/13/2025 9:41
20080110X00037 ,12/13/2025 5:41
20080123X00097 ,12/12/2025 7:41
20071227X01998 ,12/12/2025 9:41
20080109X00033 ,12/12/2025 4:41
20080117X00064 ,12/12/2025 7:41
20071219X01975 ,12/11/2025 8:41
20080115X00053 ,12/11/2025 8:41
20071219X01978 ,12/10/2025 6:41
20080304X00259 ,12/9/2025 4:41
20071227X01996 ,12/9/2025 6:41
20080109X00034 ,12/9/2025 7:41
20080229X00250 ,12/9/2025 7:41
20071227X02001 ,12/8/2025 5:41
20071218X01970 ,12/8/2025 5:41
20080104X00020 ,12/8/2025 8:41
20080129X00121 ,12/8/2025 4:41
20080124X00100 ,12/8/2025 7:41
20071226X01992 ,12/8/2025 6:41
20071229X02007 ,12/8/2025 7:41
20071227X02001 ,12/8/2025 8:41
20080123X00099 ,12/7/2025 5:41
20071211X01926 ,12/7/2025 6:41
20071219X01977 ,12/6/2025 5:41
20080214X00189 ,12/6/2025 9:41
20080116X00055 ,12/6/2025 7:41
20080118X00077 ,12/6/2025 8:41
20080219X00207 ,12/6/2025 6:41
20080108X00029 ,12/6/2025 4:41
20071212X01932 ,12/5/2025 7:41
20071227X01997 ,12/5/2025 8:41
20080122X00089 ,12/5/2025 9:41
20071219X01973 ,12/5/2025 4:41
20071211X01927 ,12/4/2025 4:41
20071228X02002 ,12/4/2025 4:41
20071227X02000 ,12/4/2025 5:41
20071212X01931 ,12/3/2025 8:41
20071213X01937 ,12/3/2025 6:41
20080124X00102 ,12/2/2025 9:41
20080124X00102 ,12/2/2025 5:41
20071206X01909 ,12/2/2025 7:41
20071206X01905 ,12/1/2025 5:41
20081003X17816 ,12/1/2025 7:41
20080116X00057 ,12/1/2025 7:41
20071207X01912 ,12/1/2025 7:41
20071227X01999 ,12/1/2025 4:41
20071212X01930 ,11/30/2025 9:41
20080111X00040 ,11/30/2025 5:41
20080116X00061 ,11/29/2025 8:41
20071231X02009 ,11/29/2025 8:41
20071212X01933 ,11/29/2025 5:41
20071204X01896 ,11/28/2025 5:41
20080109X00035 ,11/28/2025 6:41
20071207X01913 ,11/28/2025 9:41
20071211X01928 ,11/28/2025 7:41
20071212X01936 ,11/28/2025 5:41
20080128X00109 ,11/28/2025 7:41
20071203X01887 ,11/28/2025 5:41
20071203X01889 ,11/28/2025 7:41
20071205X01904 ,11/28/2025 7:41
20071130X01879 ,11/27/2025 9:41
20071129X01876 ,11/27/2025 9:41
20080102X00005 ,11/27/2025 5:41
20080114X00043 ,11/26/2025 8:41
20071227X01995 ,11/26/2025 5:41
20071221X01985 ,11/26/2025 7:41
20071130X01880 ,11/25/2025 6:41
20080214X00190 ,11/25/2025 8:41
20071204X01893 ,11/25/2025 5:41
20071209X01917 ,11/25/2025 7:41
20071210X01921 ,11/24/2025 7:41
20071218X01971 ,11/24/2025 8:41
20080210X00165 ,11/24/2025 7:41
20071126X01838 ,11/23/2025 6:41
20071130X01886 ,11/23/2025 7:41
20071130X01883 ,11/22/2025 4:41
20071221X01981 ,11/22/2025 5:41
20071209X01916 ,11/21/2025 4:41
20071203X01890 ,11/21/2025 5:41
20071221X01984 ,11/21/2025 5:41
20071210X01918 ,11/21/2025 7:41
20071130X01884 ,11/21/2025 7:41
20071206X01908 ,11/21/2025 4:41
20071130X01882 ,11/20/2025 9:41
20071130X01882 ,11/20/2025 7:41
20071129X01870 ,11/20/2025 6:41
20071210X01920 ,11/20/2025 8:41
20071226X01989 ,11/19/2025 4:41
20071207X01914 ,11/18/2025 5:41
20080116X00060 ,11/18/2025 9:41
20071226X01991 ,11/17/2025 8:41
20080128X00113 ,11/17/2025 8:41
20080512X00651 ,11/17/2025 8:41
20080411X00459 ,11/17/2025 6:41
20071231X02010 ,11/17/2025 7:41
20081219X65252 ,11/16/2025 7:41
20071119X01813 ,11/16/2025 4:41
20071120X01818 ,11/16/2025 9:41
20071121X01828 ,11/16/2025 4:41
20080122X00080 ,11/16/2025 5:41
20071226X01988 ,11/15/2025 6:41
20080311X00295 ,11/15/2025 9:41
20071119X01807 ,11/15/2025 8:41
20071119X01812 ,11/15/2025 5:41
20071212X01934 ,11/14/2025 7:41
20071126X01844 ,11/14/2025 5:41
20071206X01906 ,11/14/2025 5:41
20071206X01907 ,11/14/2025 5:41
20080304X00262 ,11/14/2025 6:41
20080331X00401 ,11/14/2025 4:41
20071204X01894 ,11/13/2025 7:41
20080515X00683 ,11/13/2025 9:41
