FlightNumber,PurposeofFlight,From,To,DepartureTime,ArrivalTime,FlyingHours,Date,PilotID,AircraftID,AccidentNumber,Fuel_consumption
20080125X00106 , Instructional ,Miami,Atlanta,12/31/2007 3:41,12/31/2007 8:41,5, 12/31/2007 ,1,1, SEA08CA056 ,1724
20080206X00141 , Unknown ,Boston,Seattle,12/31/2007 3:41,12/31/2007 9:41,6, 12/31/2007 ,2,2, CHI08WA075 ,1395
20080129X00122 , Personal ,Seattle,Atlanta,12/30/2007 3:41,12/30/2007 5:41,2, 12/30/2007 ,3,3, CHI08CA057 ,1464
20080114X00045 , Personal ,Atlanta,Boston,12/30/2007 3:41,12/30/2007 5:41,2, 12/30/2007 ,4,4, LAX08FA043 ,1034
20080109X00032 , Other Work Use ,Denver,Atlanta,12/30/2007 3:41,12/30/2007 4:41,1, 12/30/2007 ,5,5, NYC08FA071 ,1369
20080129X00118 , Personal ,Boston,Seattle,12/29/2007 3:41,12/29/2007 7:41,4, 12/29/2007 ,6,6, DEN08CA045 ,3279
20080214X00193 , Personal ,Miami,Boston,12/29/2007 3:41,12/29/2007 8:41,5, 12/29/2007 ,7,7, CHI08CA056 ,1911
20080215X00200 , Personal ,Boston,Seattle,12/29/2007 3:41,12/29/2007 8:41,5, 12/29/2007 ,8,8, CHI08CA058 ,2281
20071231X02014 ,  ,Denver,Boston,12/29/2007 3:41,12/29/2007 5:41,2, 12/29/2007 ,9,9, DFW08FA053 ,2126
20080103X00010 , Personal ,Seattle,Miami,12/29/2007 3:41,12/29/2007 6:41,3, 12/29/2007 ,10,10, DFW08LA052 ,1074
20080117X00071 , Instructional ,Seattle,Atlanta,12/29/2007 3:41,12/29/2007 8:41,5, 12/29/2007 ,11,11, LAX08WA045 ,2376
20080111X00041 , Personal ,Atlanta,Denver,12/28/2007 3:41,12/28/2007 9:41,6, 12/28/2007 ,12,12, DFW08CA051 ,2581
20080102X00006 , Personal ,Atlanta,Denver,12/28/2007 3:41,12/28/2007 9:41,6, 12/28/2007 ,13,13, SEA08LA054 ,3699
20080108X00030 , Personal ,Boston,Denver,12/27/2007 3:41,12/27/2007 7:41,4, 12/27/2007 ,14,14, CHI08FA055 ,1884
20080128X00107 , Unknown ,Boston,Seattle,12/27/2007 3:41,12/27/2007 9:41,6, 12/27/2007 ,15,15, OPS08IA004A ,527
20080128X00107 ,  ,Seattle,Denver,12/27/2007 3:41,12/27/2007 5:41,2, 12/27/2007 ,16,16, OPS08IA004B ,1978
20080104X00022 , Personal ,Seattle,Boston,12/26/2007 3:41,12/26/2007 7:41,4, 12/26/2007 ,17,17, MIA08LA032 ,1141
20071231X02008 , Personal ,Atlanta,Denver,12/26/2007 3:41,12/26/2007 6:41,3, 12/26/2007 ,18,18, DEN08IA044 ,3544
20080210X00163 , Personal ,Seattle,Denver,12/26/2007 3:41,12/26/2007 4:41,1, 12/26/2007 ,19,19, NYC08LA070 ,4526
20080229X00252 , Personal ,Miami,Denver,12/26/2007 3:41,12/26/2007 4:41,1, 12/26/2007 ,20,20, MIA08WA058 ,1044
20080129X00123 , Instructional ,Seattle,Atlanta,12/26/2007 3:41,12/26/2007 8:41,5, 12/26/2007 ,21,21, ANC08LA030 ,3499
20080117X00072 , Instructional ,Seattle,Denver,12/26/2007 3:41,12/26/2007 5:41,2, 12/26/2007 ,22,22, SEA08CA052 ,567
20080128X00110 , Instructional ,Denver,Atlanta,12/26/2007 3:41,12/26/2007 6:41,3, 12/26/2007 ,23,23, MIA08CA045 ,3808
20080107X00025 ,  ,Miami,Atlanta,12/25/2007 3:41,12/25/2007 9:41,6, 12/25/2007 ,24,24, SEA08LA051 ,2944
20080107X00024 ,  ,Seattle,Boston,12/25/2007 3:41,12/25/2007 6:41,3, 12/25/2007 ,25,25, SEA08LA050 ,503
20080116X00054 , Personal ,Boston,Denver,12/24/2007 3:41,12/24/2007 9:41,6, 12/24/2007 ,26,26, CHI08CA059 ,1333
20080321X00351 , Instructional ,Seattle,Atlanta,12/24/2007 3:41,12/24/2007 8:41,5, 12/24/2007 ,27,27, NYC08IA069 ,4753
20080108X00031 , Unknown ,Atlanta,Boston,12/23/2007 3:41,12/23/2007 7:41,4, 12/23/2007 ,28,28, DFW08WA050 ,1166
20080125X00105 , Personal ,Denver,Seattle,12/23/2007 3:41,12/23/2007 5:41,2, 12/23/2007 ,29,29, SEA08CA053 ,765
20080201X00128 , Personal ,Denver,Miami,12/23/2007 3:41,12/23/2007 4:41,1, 12/23/2007 ,30,30, ANC08LA029 ,1260
20080124X00101 , Personal ,Seattle,Denver,12/22/2007 3:41,12/22/2007 4:41,1, 12/22/2007 ,31,31, NYC08CA068 ,2218
20080207X00157 , Personal ,Boston,Seattle,12/22/2007 3:41,12/22/2007 7:41,4, 12/22/2007 ,32,32, LAX08CA041 ,3081
20080128X00114 , Personal ,Boston,Seattle,12/22/2007 3:41,12/22/2007 9:41,6, 12/22/2007 ,33,33, DEN08CA043 ,1910
20080201X00127 , Personal ,Atlanta,Denver,12/22/2007 3:41,12/22/2007 5:41,2, 12/22/2007 ,34,34, NYC08CA067 ,4523
20080219X00206 , Personal ,Atlanta,Boston,12/22/2007 3:41,12/22/2007 9:41,6, 12/22/2007 ,35,35, DFW08CA049 ,3683
20080117X00070 , Personal ,Atlanta,Seattle,12/22/2007 3:41,12/22/2007 9:41,6, 12/22/2007 ,36,36, SEA08CA055 ,3271
20080123X00093 ,  ,Seattle,Miami,12/22/2007 3:41,12/22/2007 9:41,6, 12/22/2007 ,37,37, MIA08CA040 ,3253
20080207X00145 , Unknown ,Boston,Denver,12/22/2007 3:41,12/22/2007 4:41,1, 12/22/2007 ,38,38, DEN08RA050 ,4318
20080115X00049 , Instructional ,Atlanta,Boston,12/21/2007 3:41,12/21/2007 5:41,2, 12/21/2007 ,39,39, DEN08CA046 ,536
20080204X00134 , Personal ,Atlanta,Denver,12/21/2007 3:41,12/21/2007 8:41,5, 12/21/2007 ,40,40, DFW08CA048 ,1413
20080722X01095 , Personal ,Seattle,Atlanta,12/21/2007 3:41,12/21/2007 6:41,3, 12/21/2007 ,41,41, DFW08LA134 ,1566
20080416X00491 , Instructional ,Atlanta,Seattle,12/20/2007 3:41,12/20/2007 5:41,2, 12/20/2007 ,42,42, NYC08CA066 ,4294
20071231X02011 , Personal ,Atlanta,Miami,12/20/2007 3:41,12/20/2007 7:41,4, 12/20/2007 ,43,43, CHI08FA054 ,2617
20071228X02006 , Personal ,Seattle,Denver,12/20/2007 3:41,12/20/2007 5:41,2, 12/20/2007 ,44,44, DFW08LA046 ,4880
20080117X00066 , Public Aircraft - Federal ,Miami,Seattle,12/20/2007 3:41,12/20/2007 5:41,2, 12/20/2007 ,45,45, ANC08TA028 ,2456
20080207X00156 , Personal ,Miami,Denver,12/20/2007 3:41,12/20/2007 8:41,5, 12/20/2007 ,46,46, LAX08CA040 ,968
20080128X00112 , Personal ,Atlanta,Miami,12/20/2007 3:41,12/20/2007 8:41,5, 12/20/2007 ,47,47, DFW08CA047 ,4938
20080201X00129 , Business ,Seattle,Atlanta,12/20/2007 3:41,12/20/2007 8:41,5, 12/20/2007 ,48,48, MIA08WA033 ,3597
20080102X00007 , Personal ,Seattle,Denver,12/20/2007 3:41,12/20/2007 5:41,2, 12/20/2007 ,49,49, CHI08FA053 ,3609
20080123X00095 , Instructional ,Seattle,Miami,12/19/2007 3:41,12/19/2007 5:41,2, 12/19/2007 ,50,50, MIA08CA031 ,2136
20080327X00393 , Unknown ,Seattle,Atlanta,12/19/2007 3:41,12/19/2007 5:41,2, 12/19/2007 ,51,51, NYC08WA065 ,1501
20080312X00298 , Ferry ,Seattle,Boston,12/19/2007 3:41,12/19/2007 6:41,3, 12/19/2007 ,52,52, MIA08CA046 ,3789
20080207X00155 ,  ,Miami,Denver,12/18/2007 3:41,12/18/2007 5:41,2, 12/18/2007 ,53,53, LAX08CA039 ,649
20080318X00323 , Personal ,Atlanta,Boston,12/18/2007 3:41,12/18/2007 8:41,5, 12/18/2007 ,54,54, MIA08CA030 ,4482
20080116X00058 ,  ,Boston,Atlanta,12/18/2007 3:41,12/18/2007 8:41,5, 12/18/2007 ,55,55, ANC08LA027 ,3349
20081003X62958 ,  ,Boston,Seattle,12/17/2007 3:41,12/17/2007 5:41,2, 12/17/2007 ,56,56, DCA08IA019 ,1148
20080204X00133 ,  ,Denver,Miami,12/17/2007 3:41,12/17/2007 6:41,3, 12/17/2007 ,57,57, ENG08WA006 ,3661
20080102X00002 , Personal ,Atlanta,Miami,12/17/2007 3:41,12/17/2007 5:41,2, 12/17/2007 ,58,58, DEN08WA042 ,525
20080116X00059 ,  ,Denver,Boston,12/17/2007 3:41,12/17/2007 7:41,4, 12/17/2007 ,59,59, ANC08IA026 ,4980
20081031X83921 , Aerial Application ,Seattle,Boston,12/17/2007 3:41,12/17/2007 9:41,6, 12/17/2007 ,60,60, NYC08WA329 ,2472
20071219X01979 , Personal ,Boston,Seattle,12/16/2007 3:41,12/16/2007 6:41,3, 12/16/2007 ,61,61, SEA08LA048 ,2561
20071231X02012 ,  ,Boston,Miami,12/16/2007 3:41,12/16/2007 8:41,5, 12/16/2007 ,62,62, CHI08LA051 ,515
20071217X01939 ,  ,Miami,Boston,12/16/2007 3:41,12/16/2007 8:41,5, 12/16/2007 ,63,63, DCA08FA018 ,2050
20071221X01982 ,  ,Boston,Miami,12/16/2007 3:41,12/16/2007 4:41,1, 12/16/2007 ,64,64, DCA08WA020 ,4589
20071226X01986 , Personal ,Atlanta,Boston,12/15/2007 3:41,12/15/2007 7:41,4, 12/15/2007 ,65,65, DEN08LA041 ,1881
20080102X00001 , Personal ,Denver,Atlanta,12/15/2007 3:41,12/15/2007 9:41,6, 12/15/2007 ,66,66, DEN08LA040 ,1686
20071221X01983 ,  ,Denver,Boston,12/15/2007 3:41,12/15/2007 8:41,5, 12/15/2007 ,67,67, DFW08IA045 ,1112
20080122X00083 , Personal ,Seattle,Denver,12/14/2007 3:41,12/14/2007 5:41,2, 12/14/2007 ,68,68, CHI08LA052 ,1447
20080131X00126 , Public Aircraft - State ,Denver,Atlanta,12/14/2007 3:41,12/14/2007 5:41,2, 12/14/2007 ,69,69, LAX08IA042 ,4502
20080213X00187 , Positioning ,Boston,Seattle,12/14/2007 3:41,12/14/2007 6:41,3, 12/14/2007 ,70,70, NYC08LA062A ,3222
20071231X02013 ,  ,Denver,Atlanta,12/14/2007 3:41,12/14/2007 5:41,2, 12/14/2007 ,71,71, CHI08FA050 ,1228
20071226X01987 , Instructional ,Miami,Denver,12/14/2007 3:41,12/14/2007 8:41,5, 12/14/2007 ,72,72, SEA08CA047 ,1875
20080213X00187 , Positioning ,Seattle,Atlanta,12/14/2007 3:41,12/14/2007 6:41,3, 12/14/2007 ,73,73, NYC08LA062B ,4566
20071219X01976 , Personal ,Seattle,Boston,12/13/2007 3:41,12/13/2007 4:41,1, 12/13/2007 ,74,74, MIA08LA029 ,1260
20080123X00094 , Personal ,Miami,Atlanta,12/13/2007 3:41,12/13/2007 7:41,4, 12/13/2007 ,75,75, NYC08CA072 ,1885
20080215X00201 , Personal ,Denver,Seattle,12/13/2007 3:41,12/13/2007 7:41,4, 12/13/2007 ,76,76, NYC08CA063 ,2179
20071228X02003 ,  ,Boston,Denver,12/13/2007 3:41,12/13/2007 9:41,6, 12/13/2007 ,77,77, NYC08WA064 ,4103
20080110X00037 , Personal ,Denver,Atlanta,12/13/2007 3:41,12/13/2007 5:41,2, 12/13/2007 ,78,78, NYC08LA061 ,2269
20080123X00097 , Personal ,Seattle,Miami,12/12/2007 3:41,12/12/2007 7:41,4, 12/12/2007 ,79,79, NYC08CA073 ,4633
20071227X01998 , Personal ,Denver,Seattle,12/12/2007 3:41,12/12/2007 9:41,6, 12/12/2007 ,80,80, NYC08LA059 ,3364
20080109X00033 , Personal ,Atlanta,Boston,12/12/2007 3:41,12/12/2007 4:41,1, 12/12/2007 ,81,81, NYC08LA060 ,3733
20080117X00064 , Personal ,Miami,Denver,12/12/2007 3:41,12/12/2007 7:41,4, 12/12/2007 ,82,82, NYC08WA076 ,2430
20071219X01975 , Personal ,Boston,Denver,12/11/2007 3:41,12/11/2007 8:41,5, 12/11/2007 ,83,83, SEA08FA045 ,4831
20080115X00053 , Personal ,Boston,Atlanta,12/11/2007 3:41,12/11/2007 8:41,5, 12/11/2007 ,84,84, CHI08CA048 ,3113
20071219X01978 , Executive/Corporate ,Boston,Atlanta,12/10/2007 3:41,12/10/2007 6:41,3, 12/10/2007 ,85,85, SEA08FA042 ,1080
20080304X00259 , Personal ,Miami,Seattle,12/9/2007 3:41,12/9/2007 4:41,1, 12/09/2007 ,86,86, MIA08CA028 ,4549
20071227X01996 , Unknown ,Seattle,Atlanta,12/9/2007 3:41,12/9/2007 6:41,3, 12/09/2007 ,87,87, NYC08WA057 ,2583
20080109X00034 , Personal ,Boston,Miami,12/9/2007 3:41,12/9/2007 7:41,4, 12/09/2007 ,88,88, NYC08FA056 ,1202
20080229X00250 , Personal ,Denver,Miami,12/9/2007 3:41,12/9/2007 7:41,4, 12/09/2007 ,89,89, MIA08WA060 ,4146
20071227X02001 , Instructional ,Denver,Boston,12/8/2007 3:41,12/8/2007 5:41,2, 12/08/2007 ,90,90, NYC08FA054B ,2083
20071218X01970 , Personal ,Atlanta,Miami,12/8/2007 3:41,12/8/2007 5:41,2, 12/08/2007 ,91,91, MIA08FA027 ,1098
20080104X00020 , Personal ,Boston,Denver,12/8/2007 3:41,12/8/2007 8:41,5, 12/08/2007 ,92,92, CHI08CA047 ,3231
20080129X00121 , Instructional ,Boston,Miami,12/8/2007 3:41,12/8/2007 4:41,1, 12/08/2007 ,93,93, CHI08CA049 ,1087
20080124X00100 , Personal ,Denver,Boston,12/8/2007 3:41,12/8/2007 7:41,4, 12/08/2007 ,94,94, NYC08CA058 ,1773
20071226X01992 , Positioning ,Boston,Miami,12/8/2007 3:41,12/8/2007 6:41,3, 12/08/2007 ,95,95, SEA08CA044 ,4042
20071229X02007 , Personal ,Atlanta,Seattle,12/8/2007 3:41,12/8/2007 7:41,4, 12/08/2007 ,96,96, NYC08CA055 ,956
20071227X02001 , Personal ,Miami,Atlanta,12/8/2007 3:41,12/8/2007 8:41,5, 12/08/2007 ,97,97, NYC08FA054A ,2414
20080123X00099 , Business ,Seattle,Boston,12/7/2007 3:41,12/7/2007 5:41,2, 12/07/2007 ,98,98, LAX08CA036 ,2253
20071211X01926 , Instructional ,Denver,Atlanta,12/7/2007 3:41,12/7/2007 6:41,3, 12/07/2007 ,99,99, MIA08FA026 ,4864
20071219X01977 , Personal ,Seattle,Atlanta,12/6/2007 3:41,12/6/2007 5:41,2, 12/06/2007 ,100,100, SEA08FA046 ,1522
20080214X00189 , Personal ,Denver,Seattle,12/6/2007 3:41,12/6/2007 9:41,6, 12/06/2007 ,101,101, MIA08CA025 ,1029
20080116X00055 , Aerial Application ,Atlanta,Seattle,12/6/2007 3:41,12/6/2007 7:41,4, 12/06/2007 ,102,102, LAX08CA034 ,2121
20080118X00077 , Personal ,Denver,Atlanta,12/6/2007 3:41,12/6/2007 8:41,5, 12/06/2007 ,103,103, LAX08CA033 ,1640
20080219X00207 , Personal ,Boston,Denver,12/6/2007 3:41,12/6/2007 6:41,3, 12/06/2007 ,104,104, LAX08CA035 ,4840
20080108X00029 , Personal ,Denver,Seattle,12/6/2007 3:41,12/6/2007 4:41,1, 12/06/2007 ,105,105, DFW08WA043 ,1159
20071212X01932 ,  ,Boston,Denver,12/5/2007 3:41,12/5/2007 7:41,4, 12/05/2007 ,106,106, CHI08FA045 ,705
20071227X01997 , Business ,Atlanta,Seattle,12/5/2007 3:41,12/5/2007 8:41,5, 12/05/2007 ,107,107, NYC08FA053 ,672
20080122X00089 , Personal ,Boston,Atlanta,12/5/2007 3:41,12/5/2007 9:41,6, 12/05/2007 ,108,108, CHI08CA020 ,3350
