PilotID	AddressType	ZipCode	State	City	Country
1	Office	60601	Ohio	Los Angeles	Brazil
2	Vacation	33101	New York	Chicago	Canada
3	Vacation	90001	New York	Houston	Canada
4	Home	90210	Texas	Houston	Canada
5	Home	48227	Ohio	Chicago	Germany
6	Vacation	90210	New York	New York	Germany
7	Office	33101	New York	New York	USA
8	Vacation	90210	Florida	Houston	Brazil
9	Vacation	60601	Florida	Detroit	USA
10	Vacation	90001	California	Chicago	Brazil
11	Vacation	60601	Texas	Houston	USA
12	Vacation	48227	California	Houston	Canada
13	Home	33101	Texas	Detroit	USA
14	Office	90001	California	New York	USA
15	Office	33101	Florida	New York	Australia
16	Office	90210	New York	Chicago	USA
17	Vacation	90210	New York	New York	Brazil
18	Vacation	33101	Ohio	Houston	Australia
19	Home	48227	Ohio	New York	Australia
20	Office	60601	New York	Chicago	Canada
21	Office	33101	Ohio	Chicago	Australia
22	Vacation	90001	Ohio	Chicago	Germany
23	Office	60601	California	Los Angeles	Germany
24	Office	33101	New York	Houston	USA
25	Home	33101	Texas	Chicago	Germany
26	Home	90210	Texas	New York	Canada
27	Office	48227	New York	Los Angeles	USA
28	Vacation	60601	Florida	New York	Canada
29	Home	60601	New York	Chicago	USA
30	Vacation	33101	Ohio	New York	Germany
31	Office	48227	Ohio	Detroit	USA
32	Vacation	33101	Ohio	Detroit	Germany
33	Vacation	60601	Ohio	Chicago	Brazil
34	Home	60601	Ohio	Chicago	Brazil
35	Home	33101	New York	Chicago	USA
36	Office	90001	Texas	Houston	Australia
37	Home	48227	Ohio	Chicago	Germany
38	Home	33101	California	Detroit	USA
39	Home	48227	Ohio	Detroit	Brazil
40	Vacation	48227	Florida	Chicago	Australia
41	Home	33101	California	Houston	Australia
42	Office	33101	Texas	Chicago	Canada
43	Office	90001	Ohio	New York	USA
44	Vacation	48227	Florida	Los Angeles	Brazil
45	Office	90001	Texas	Houston	Brazil
46	Office	48227	Texas	New York	Germany
47	Home	33101	California	Detroit	Brazil
48	Vacation	90210	Ohio	Los Angeles	Australia
49	Vacation	33101	California	Houston	Australia
50	Office	60601	Texas	Chicago	Germany
51	Home	90001	California	Chicago	Canada
52	Vacation	60601	California	Detroit	Germany
53	Home	33101	Texas	Houston	Australia
54	Vacation	33101	New York	Houston	Australia
55	Office	90001	Florida	Houston	Germany
56	Vacation	90001	Ohio	Los Angeles	Germany
57	Vacation	48227	Ohio	Los Angeles	Australia
58	Vacation	60601	California	Chicago	Germany
59	Home	33101	Ohio	Detroit	Germany
60	Office	90210	Ohio	Chicago	Australia
61	Home	90001	California	Chicago	Australia
62	Home	60601	New York	New York	Germany
63	Home	90210	New York	Houston	Germany
64	Office	48227	California	New York	Brazil
65	Office	60601	Florida	Houston	Germany
66	Vacation	90001	California	New York	Brazil
67	Office	90210	Ohio	Houston	Germany
68	Home	33101	Florida	Detroit	Germany
69	Home	90001	Florida	Chicago	USA
70	Home	33101	Texas	Detroit	Brazil
71	Office	33101	Ohio	Los Angeles	Germany
72	Vacation	60601	New York	Detroit	Germany
73	Vacation	90001	Texas	Detroit	Australia
74	Home	90001	California	Chicago	Canada
75	Home	90210	Texas	Chicago	Australia
76	Vacation	90001	Ohio	Detroit	Brazil
77	Home	90210	California	Chicago	Australia
78	Office	90210	Texas	Houston	Canada
79	Vacation	90001	Texas	Chicago	Australia
80	Office	48227	Ohio	Detroit	USA
81	Office	33101	New York	Los Angeles	Germany
82	Vacation	48227	New York	New York	Germany
83	Home	48227	California	New York	Australia
84	Office	90210	New York	New York	USA
85	Office	90210	Florida	New York	Germany
86	Office	60601	Texas	Detroit	Germany
87	Office	90210	Ohio	Los Angeles	USA
88	Vacation	60601	Texas	Chicago	Brazil
89	Home	60601	Ohio	Los Angeles	USA
90	Home	48227	New York	Los Angeles	Brazil
91	Vacation	48227	Texas	Houston	USA
92	Vacation	90210	Florida	Los Angeles	Canada
93	Office	33101	Ohio	New York	USA
94	Vacation	90210	New York	Houston	Australia
95	Home	90210	Texas	Houston	Brazil
96	Office	60601	Ohio	Los Angeles	Canada
97	Office	60601	New York	Detroit	USA
98	Office	33101	Florida	New York	Australia
99	Home	90001	New York	Chicago	USA
100	Vacation	90001	New York	Houston	Canada
101	Vacation	48227	Ohio	Chicago	Canada
102	Vacation	48227	Texas	Los Angeles	Canada
103	Office	48227	Ohio	Chicago	Australia
104	Home	33101	New York	Houston	Canada
105	Office	48227	California	New York	Australia
106	Office	90001	Florida	Houston	Germany
107	Home	48227	California	Detroit	USA
108	Office	48227	California	Chicago	Australia
109	Vacation	90210	California	Detroit	USA
110	Vacation	60601	Ohio	Los Angeles	Brazil
111	Vacation	60601	California	Houston	Brazil
112	Office	33101	New York	Chicago	Germany
113	Office	90001	California	Los Angeles	Australia
114	Vacation	48227	Florida	Chicago	Germany
115	Vacation	90001	Florida	Chicago	Germany
116	Office	60601	California	Chicago	USA
117	Office	60601	New York	Los Angeles	Canada
118	Home	48227	Ohio	Chicago	Brazil
119	Office	48227	Florida	New York	Brazil
120	Office	33101	Ohio	Chicago	Germany
121	Home	33101	Ohio	Chicago	Brazil
122	Office	33101	Florida	Chicago	Canada
123	Home	48227	Ohio	Chicago	Germany
124	Home	48227	New York	Chicago	Canada
125	Vacation	90001	New York	Chicago	USA
126	Home	33101	New York	Detroit	Canada
127	Vacation	33101	California	New York	Canada
128	Office	48227	New York	Chicago	Canada
129	Vacation	90001	Ohio	Houston	Brazil
130	Office	33101	California	Houston	Canada
131	Home	90001	Florida	Detroit	Brazil
132	Home	90210	New York	New York	USA
133	Home	60601	Texas	Los Angeles	USA
134	Home	60601	California	Los Angeles	USA
135	Home	90001	Ohio	Houston	Canada
136	Office	60601	Florida	Chicago	USA
137	Vacation	90001	Texas	Chicago	Australia
138	Home	33101	Texas	Los Angeles	Germany
139	Vacation	33101	California	New York	Australia
140	Home	90210	Texas	Houston	Australia
141	Vacation	48227	Ohio	Los Angeles	Germany
